"sample","rownames.track_V9_all.","input","filtered","denoised","nonchim","run"
"001_NGS22-011","001_NGS22-011","110430","102961","102542","101164","r1"
"002_NGS22-011","002_NGS22-011","89522","83830","83589","82193","r1"
"003_NGS22-011","003_NGS22-011","134593","126376","125938","123825","r1"
"004_NGS22-011","004_NGS22-011","162014","152250","151877","148706","r1"
"005_NGS22-011","005_NGS22-011","170660","161691","161303","159372","r1"
"006_NGS22-011","006_NGS22-011","87271","81658","81472","80409","r1"
"007_NGS22-011","007_NGS22-011","76708","71283","71084","70244","r1"
"008_NGS22-011","008_NGS22-011","115814","108748","108550","107117","r1"
"009_NGS22-011","009_NGS22-011","65077","52542","52385","52001","r1"
"010_NGS22-011","010_NGS22-011","154580","138825","138596","136352","r1"
"011_NGS22-011","011_NGS22-011","133435","125188","124912","122671","r1"
"012_NGS22-011","012_NGS22-011","290535","275516","275016","273633","r1"
"013_NGS22-011","013_NGS22-011","75252","69080","68835","68366","r1"
"014_NGS22-011","014_NGS22-011","206277","195170","194721","192137","r1"
"015_NGS22-011","015_NGS22-011","120547","114165","113793","112963","r1"
"016_NGS22-011","016_NGS22-011","94481","88981","88713","84106","r1"
"017_NGS22-011","017_NGS22-011","100121","91582","91292","90600","r1"
"018_NGS22-011","018_NGS22-011","117564","110218","109974","108520","r1"
"019_NGS22-011","019_NGS22-011","84903","79495","79094","78469","r1"
"020_NGS22-011","020_NGS22-011","99229","91252","90949","90439","r1"
"021_NGS22-011","021_NGS22-011","72988","68151","67810","67240","r1"
"022_NGS22-011","022_NGS22-011","49734","45669","45404","45142","r1"
"023_NGS22-011","023_NGS22-011","108600","101265","100963","99376","r1"
"024_NGS22-011","024_NGS22-011","72161","67588","67208","66682","r1"
"025_NGS22-011","025_NGS22-011","93384","79778","79566","78958","r1"
"026_NGS22-011","026_NGS22-011","173807","164502","164191","161497","r1"
"027_NGS22-011","027_NGS22-011","119130","112084","111846","110187","r1"
"028_NGS22-011","028_NGS22-011","277780","263706","263310","259986","r1"
"029_NGS22-011","029_NGS22-011","136639","126181","125868","124865","r1"
"030_NGS22-011","030_NGS22-011","134275","126205","125891","123944","r1"
"031_NGS22-011","031_NGS22-011","155567","141210","140756","138219","r1"
"032_NGS22-011","032_NGS22-011","112631","103954","103411","101779","r1"
"033_NGS22-011","033_NGS22-011","155088","142720","142339","141045","r1"
"034_NGS22-011","034_NGS22-011","121439","114543","114331","113187","r1"
"035_NGS22-011","035_NGS22-011","140491","130996","130756","129645","r1"
"036_NGS22-011","036_NGS22-011","142548","134131","133839","132732","r1"
"037_NGS22-011","037_NGS22-011","103848","97062","96771","95999","r1"
"038_NGS22-011","038_NGS22-011","95729","89387","89273","88742","r1"
"039_NGS22-011","039_NGS22-011","140593","132525","132186","130470","r1"
"040_NGS22-011","040_NGS22-011","120212","112406","112058","111030","r1"
"041_NGS22-011","041_NGS22-011","144739","110657","110478","108179","r1"
"042_NGS22-011","042_NGS22-011","221235","200060","199607","194801","r1"
"043_NGS22-011","043_NGS22-011","193006","179987","179777","177048","r1"
"044_NGS22-011","044_NGS22-011","420973","380793","379583","368448","r1"
"045_NGS22-011","045_NGS22-011","145924","122652","122389","116911","r1"
"046_NGS22-011","046_NGS22-011","243186","226390","225623","219542","r1"
"047_NGS22-011","047_NGS22-011","152460","136819","136353","132689","r1"
"048_NGS22-011","048_NGS22-011","134494","122618","122197","119050","r1"
"049_NGS22-011","049_NGS22-011","159682","142899","142619","138510","r1"
"050_NGS22-011","050_NGS22-011","162927","146791","146330","142461","r1"
"051_NGS22-011","051_NGS22-011","111733","104691","104160","101766","r1"
"052_NGS22-011","052_NGS22-011","144837","134311","133977","132651","r1"
"053_NGS22-011","053_NGS22-011","128160","121123","120778","118157","r1"
"054_NGS22-011","054_NGS22-011","166295","157030","156826","155442","r1"
"055_NGS22-011","055_NGS22-011","110387","103447","103123","102637","r1"
"056_NGS22-011","056_NGS22-011","167800","159944","159687","157631","r1"
"057_NGS22-011","057_NGS22-011","97883","88848","88486","87737","r1"
"058_NGS22-011","058_NGS22-011","142528","131641","131289","127649","r1"
"059_NGS22-011","059_NGS22-011","116450","109253","108874","106991","r1"
"060_NGS22-011","060_NGS22-011","226160","213513","213063","209211","r1"
"061_NGS22-011","061_NGS22-011","87714","78260","77880","77346","r1"
"062_NGS22-011","062_NGS22-011","187022","172875","172372","171628","r1"
"063_NGS22-011","063_NGS22-011","63323","56440","56429","56429","r1"
"064_NGS22-011","064_NGS22-011","125877","115308","115233","114156","r1"
"065_NGS22-011","065_NGS22-011","133484","118614","118463","118179","r1"
"066_NGS22-011","066_NGS22-011","57571","51551","51509","51439","r1"
"067_NGS22-011","067_NGS22-011","150214","138578","138338","137747","r1"
"068_NGS22-011","068_NGS22-011","6976","5670","5633","5633","r1"
"069_NGS22-011","069_NGS22-011","139251","129268","128949","128719","r1"
"070_NGS22-011","070_NGS22-011","107911","98800","98641","98113","r1"
"081_NGS22-011","081_NGS22-011","170973","150807","150236","147284","r1"
"082_NGS22-011","082_NGS22-011","135652","123906","123316","120691","r1"
"083_NGS22-011","083_NGS22-011","123324","113042","112590","111160","r1"
"084_NGS22-011","084_NGS22-011","156969","136414","135822","134177","r1"
"085_NGS22-011","085_NGS22-011","134965","123340","122968","120255","r1"
"086_NGS22-011","086_NGS22-011","101801","93007","92717","89019","r1"
"087_NGS22-011","087_NGS22-011","133211","118185","117811","115269","r1"
"088_NGS22-011","088_NGS22-011","145984","134964","134706","132775","r1"
"089_NGS22-011","089_NGS22-011","59161","44017","43814","43526","r1"
"090_NGS22-011","090_NGS22-011","165577","148417","148083","142708","r1"
"091_NGS22-011","091_NGS22-011","127917","120241","119933","118192","r1"
"092_NGS22-011","092_NGS22-011","229974","214993","214486","211639","r1"
"093_NGS22-011","093_NGS22-011","106560","95412","95067","94133","r1"
"094_NGS22-011","094_NGS22-011","85698","77683","77476","76858","r1"
"095_NGS22-011","095_NGS22-011","162430","151870","151594","147874","r1"
"097_NGS22-011","097_NGS22-011","63658","59129","58883","58539","r1"
"098_NGS22-011","098_NGS22-011","115843","109410","109078","108170","r1"
"099_NGS22-011","099_NGS22-011","91912","84965","84627","83165","r1"
"100_NGS22-011","100_NGS22-011","59045","56100","55938","55938","r1"
"101_NGS22-011","101_NGS22-011","37095","33694","33577","33506","r1"
"102_NGS22-011","102_NGS22-011","113874","107152","106955","105295","r1"
